feature,importance
discharge_disposition_id,0.14868540329323893
number_inpatient,0.09380429757818784
time_in_hospital,0.07167584056269662
num_medications,0.06706637411381908
num_lab_procedures,0.06405206416834368
number_diagnoses,0.042166476384882676
num_procedures,0.02537809559757406
admission_type_id,0.022397926283100084
number_emergency,0.02139737649485238
admission_source_id,0.020280800344900672
age_[50-60),0.019960074242525046
number_outpatient,0.017362877686554937
diabetesMed_Yes,0.01267865118653418
diag_1_Respiratory,0.012111032310853479
age_[80-90),0.011637643255569352
insulin_No,0.010395819654080886
gender_Male,0.009372597141167635
age_[70-80),0.009323825438006278
race_Caucasian,0.009083597755765734
metformin_Steady,0.008854110830157682
metformin_No,0.008387155734585145
change_No,0.00824670903342847
diag_2_Respiratory,0.008097452643595734
diag_2_Other,0.00787164849835231
diag_1_Diabetes,0.007701917538769647
diag_1_Other,0.007687762873231704
diag_3_Diabetes,0.0076318010860232785
insulin_Steady,0.007567843591981432
diag_2_Neoplasms,0.007314408165012996
diag_2_Diabetes,0.007285043987903562
A1Cresult_>8,0.007089419613412885
diag_3_Other,0.007043540198967858
glipizide_No,0.006899806948824265
diag_1_Musculoskeletal,0.006497176085836787
diag_3_Respiratory,0.006254427844015098
age_[40-50),0.006195463176250183
age_[60-70),0.006131671049042055
A1Cresult_Norm,0.005998555581396924
glipizide_Steady,0.005867285778384429
diag_2_Genitourinary,0.005667368963653164
diag_1_Injury,0.0056486231212891464
diag_1_Digestive,0.0056113902190986385
diag_3_Supplementary,0.005546654879535704
glyburide_No,0.005350447638678679
diag_1_Supplementary,0.005304258587340111
age_[30-40),0.00497088684596167
diag_1_Genitourinary,0.004951384512764769
pioglitazone_No,0.004811297410364995
glyburide_Steady,0.004801456809632843
pioglitazone_Steady,0.004795340918490808
insulin_Up,0.0047769805452709
rosiglitazone_No,0.004573765437273401
diag_3_Genitourinary,0.004535489136232177
glimepiride_No,0.004221481126753403
glimepiride_Steady,0.0042076901162589365
rosiglitazone_Steady,0.004146996613689132
diag_1_Neoplasms,0.00412674530014368
race_Hispanic,0.004048434147965008
diag_2_Digestive,0.0039262113136142055
diag_3_Digestive,0.0038398307907095684
diag_3_Neoplasms,0.003807313819283184
diag_2_Injury,0.0037554285441686523
diag_3_Musculoskeletal,0.0036635046182682423
diag_3_Unknown,0.003412844897113654
diag_2_Musculoskeletal,0.0033930247824311846
race_Other,0.0033425974622042685
age_[90-100),0.003331355480266431
max_glu_serum_Norm,0.0030248442875840287
diag_2_Supplementary,0.002842498663477459
diag_3_Injury,0.002815713300086687
repaglinide_No,0.0027515965575968665
metformin_Up,0.0026449490932752293
repaglinide_Steady,0.0022923879827124044
diag_3_External Causes,0.002283398385862082
max_glu_serum_>300,0.0021218820080415677
glipizide_Up,0.0018099165620509214
diag_2_External Causes,0.0017932123847357062
age_[10-20),0.0017538296192513981
age_[20-30),0.0017470459568643326
glyburide_Up,0.0015109628353772997
nateglinide_Steady,0.0014519259800906156
glyburide-metformin_No,0.0013959395480019573
race_Asian,0.0013880029354102824
glyburide-metformin_Steady,0.0013774529575815543
repaglinide_Up,0.0012263808160138156
nateglinide_No,0.0010307578812366461
diag_2_Unknown,0.0010199626299209996
glimepiride_Up,0.0009145675501373531
pioglitazone_Up,0.0008882617618933177
acarbose_Steady,0.0007376475366952448
rosiglitazone_Up,0.000409943094782562
chlorpropamide_No,0.00020882644600684553
chlorpropamide_Steady,0.0001543974357444486
acarbose_Up,0.0001282321299741478
diag_1_Unknown,9.592408562678246e-05
miglitol_No,5.378638711752445e-05
miglitol_Steady,4.833339603485089e-05
tolbutamide_Steady,3.172757900635141e-05
tolazamide_Steady,1.5064447937539152e-05
nateglinide_Up,3.5686998676257226e-06
glipizide-metformin_Steady,2.709699815200983e-06
miglitol_Up,1.5715739059268976e-06
troglitazone_Steady,0.0
acetohexamide_Steady,0.0
chlorpropamide_Up,0.0
diag_1_External Causes,0.0
glyburide-metformin_Up,0.0
metformin-rosiglitazone_Steady,0.0
metformin-pioglitazone_Steady,0.0
gender_Unknown/Invalid,0.0
